shobi_code,brand,perfume,current_status,fragrantica_status
1071-DRC,Dior,Ambre-nuit-eau-de-,AMBIGUOUS,NOT_FOUND
1067-CHA,Chanel,BLEU,AMBIGUOUS,NOT_FOUND
1042-CAC,Cacharel,POUR HOMME,AMBIGUOUS,NOT_FOUND
1041-BLG,Bvlgari,POUR HOMME BLG,NOT_FOUND,NOT_FOUND
1034-BLG,Bvlgari,AQUA - BVLGARI,AMBIGUOUS,NOT_FOUND
1028-BRB,Burberry,Sport For Men,AMBIGUOUS,NOT_FOUND
1026-BRB,Burberry,Brit,NOT_FOUND,NOT_FOUND
1021-BOG,Jacques Bogart,One Man Show Eau de Toilette,NOT_FOUND,NOT_FOUND
1016-AZZ,Azzaro,VISIT AZZARO,NOT_FOUND,NOT_FOUND
1014-AZZ,Azzaro,CLASSIC,AMBIGUOUS,NOT_FOUND
1008-ACQ,Acqua di Parma,COLONIA PURA (U),NOT_FOUND,NOT_FOUND
1007-ACQ,Acqua di Parma,Colonia Leather,NOT_FOUND,NOT_FOUND
