shobi_code,brand,perfume,current_status,fragrantica_status
710-HUG,Hugo Boss,BOSS JOUR - HUGO BOSS,AMBIGUOUS,NOT_FOUND
695-GUE,Guess,Dare,NOT_FOUND,NOT_FOUND
681-GUC,Gucci,Rush,AMBIGUOUS,NOT_FOUND
678-GUC,Gucci,Guilty,NOT_FOUND,NOT_FOUND
675-GUC,Gucci,Bloom,AMBIGUOUS,NOT_FOUND
649-ARM,Giorgio Armani,Armani Code Turquoise,AMBIGUOUS,NOT_FOUND
639-FEN,Fendi,FENDI Woman,NOT_FOUND,NOT_FOUND
623-EST,Estée Lauder,ESTEE - ESTEE LAUDER,AMBIGUOUS,NOT_FOUND
622-EST,Estée Lauder,Cinnabar Eau de Parfum,AMBIGUOUS,NOT_FOUND
616-EST,Estee Lauder,Beyond Paradise,AMBIGUOUS,NOT_FOUND
612-ESC,Escada,TURQUOISE - ESCADA,NOT_FOUND,NOT_FOUND
595-EMIL,Emilio Pucci,EMILIO PUCCI,NOT_FOUND,NOT_FOUND
577-DON,DKNY,CASHMERE MIST - DKNY,NOT_FOUND,NOT_FOUND
570-DOL,Dolce & Gabbana,(RED CUP),NOT_FOUND,NOT_FOUND
534-DRC,Dior,MISS,AMBIGUOUS,NOT_FOUND
502-CHA,Chanel,No 5,AMBIGUOUS,NOT_FOUND
1137-ARM,Giorgio Armani,WHITE,AMBIGUOUS,NOT_FOUND
1110-DSQ,Dsquared2,BLACK POTION - DSQUARED,NOT_FOUND,NOT_FOUND
1104-DAV,Davidoff,PURE PACIFIC - DAVIDOFF,AMBIGUOUS,NOT_FOUND
