shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
1006-ACQ,Acqua di Parma,COLONIA INTENSA OUD,15519,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-Oud-Eau-de-Cologne-Concentree-15519.html,Exact original Colonia Intensa Oud page
337-TIFF,Tiffany Co,Tiffany Co Sheer,12922,https://www.fragrantica.com/perfume/Tiffany/Sheer-Tiffany-12922.html,Exact Sheer Tiffany page
233-ESCE,Escentric Molecules,Molecule 02,3606,https://www.fragrantica.com/perfume/Escentric-Molecules/Molecule-02-3606.html,Exact Fragrantica page
854-NIN,Nina Ricci,NINA ROUGE,56162,https://www.fragrantica.com/perfume/Nina-Ricci/Nina-Rouge-56162.html,Exact Nina Rouge 2019 page
1094-DOL,Dolce & Gabbana,K KING (2019),56358,https://www.fragrantica.com/perfume/Dolce-Gabbana/K-by-Dolce-Gabbana-56358.html,Exact K by Dolce Gabbana 2019 EDT page
110-ARM,Giorgio Armani,ROSE D'ARABIE,10886,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,Exact Armani Prive Rose d Arabie page
1187-JOV,Jōvan,White Musk for Women,7524,https://www.fragrantica.com/perfume/Jovan/White-Musk-7524.html,Exact women White Musk page
731-JIM,Jimmy Choo,Fever,49615,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Fever-49615.html,Exact Jimmy Choo Fever page
605-ESC,Escada,Miami Blossom,53054,https://www.fragrantica.com/perfume/Escada/Miami-Blossom-53054.html,Exact Fragrantica page
312-MOL,Molton Brown,black pepper-mol,951,https://www.fragrantica.com/perfume/Molton-Brown/Black-Pepper-951.html,Exact original Molton Brown Black Pepper page
