shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
651-ARM,Giorgio Armani,Emporio Armani Lei,417,https://www.fragrantica.com/p/417,Verified Fragrantica page; Shobi aliases LEI/ELLE/SHE/ELLA refer to Emporio Armani Lei
640-FEN,Fendi,L'Acquarossa,18706,https://www.fragrantica.com/p/18706,Verified Fragrantica page
619-EST,Estée Lauder,Bronze Goddess Eau Fraîche Skinscent,2857,https://www.fragrantica.com/p/2857,Verified Fragrantica page for 2008 Eau Fraîche Skinscent
613-ESC,Escada,Turquoise Summer,28630,https://www.fragrantica.com/p/28630,Verified Fragrantica page
611-ESC,Escada,Taj Sunset,10611,https://www.fragrantica.com/p/10611,Verified Fragrantica page
610-ESC,Escada,Sorbetto Rosso,47255,https://www.fragrantica.com/p/47255,Verified Fragrantica page
607-ESC,Escada,Escada Marine Groove,7303,https://www.fragrantica.com/p/7303,Verified Fragrantica page
606-ESC,Escada,Escada Margaretha Ley,1365,https://www.fragrantica.com/p/1365,Verified Fragrantica page
604-ESC,Escada,Escada Magnetism,1036,https://www.fragrantica.com/p/1036,Verified Fragrantica page
603-ESC,Escada,Incredible Me,3861,https://www.fragrantica.com/p/3861,Verified Fragrantica page
602-ESC,Escada,Joyful,25459,https://www.fragrantica.com/p/25459,Verified Fragrantica page
600-ESC,Escada,Fiesta Carioca,41897,https://www.fragrantica.com/p/41897,Verified Fragrantica page
599-ESC,Escada,Cherry in the Air,17129,https://www.fragrantica.com/p/17129,Verified Fragrantica page
598-ESC,Escada,Celebrate N.O.W.,46180,https://www.fragrantica.com/p/46180,Verified Fragrantica page
597-ESC,Escada,Born in Paradise,22106,https://www.fragrantica.com/p/22106,Verified Fragrantica page
596-ESC,Escada,Agua del Sol,32741,https://www.fragrantica.com/p/32741,Verified Fragrantica page
594-EMAN,Emanuel Ungaro,Diva,901,https://www.fragrantica.com/p/901,Verified Fragrantica page
593-ELZT,Elizabeth Taylor,White Diamonds,887,https://www.fragrantica.com/p/887,Verified Fragrantica page
590-ELIZ,Elizabeth Arden,5th Avenue,81,https://www.fragrantica.com/p/81,Verified Fragrantica page
588-ELI,Elie Saab,Le Parfum,12258,https://www.fragrantica.com/p/12258,Verified Fragrantica page
584-DSQ,DSQUARED²,Potion for Women,15481,https://www.fragrantica.com/p/15481,Verified Fragrantica page
581-DON,Donna Karan,DKNY My NY,25948,https://www.fragrantica.com/p/25948,Verified Fragrantica page
578-DON,Donna Karan,DKNY Women,504,https://www.fragrantica.com/p/504,Verified Fragrantica page
552-DOL,Dolce&Gabbana,D&G Anthology L'Imperatrice 3,6086,https://www.fragrantica.com/p/6086,Verified Fragrantica page
537-DRC,Dior,Miss Dior Cherie,213,https://www.fragrantica.com/p/213,Verified original 2005 Miss Dior Cherie page
536-DRC,Dior,Miss Dior Blooming Bouquet,23280,https://www.fragrantica.com/p/23280,Verified 2014 Blooming Bouquet page
532-DRC,Dior,Joy by Dior,51285,https://www.fragrantica.com/p/51285,Verified Fragrantica page
527-DRC,Dior,Dior Grand Bal,14984,https://www.fragrantica.com/p/14984,Verified Fragrantica page
508-CHA,Chanel,Coco Noir,15963,https://www.fragrantica.com/p/15963,Verified Fragrantica page
507-CHA,Chanel,Coco Mademoiselle Intense,48310,https://www.fragrantica.com/p/48310,Verified Fragrantica page
506-CHA,Chanel,Coco Mademoiselle,611,https://www.fragrantica.com/p/611,Verified Fragrantica page
505-CHA,Chanel,Coco Eau de Parfum,609,https://www.fragrantica.com/p/609,Verified Fragrantica page
504-CHA,Chanel,Chanel No 5 L'Eau,38543,https://www.fragrantica.com/p/38543,Verified Fragrantica page
467-CAL,Calvin Klein,Contradiction,255,https://www.fragrantica.com/p/255,Verified 1997 women's fragrance page
437-BLG,Bvlgari,Bvlgari Pour Femme,142,https://www.fragrantica.com/p/142,Verified Fragrantica page
