shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
829-MNTB,Montblanc,FEMME - MONT BLANC,833,https://www.fragrantica.com/perfume/Mont-Blanc/Femme-de-Montblanc-833.html,Exact Femme de Montblanc page
825-MIC,Michael Kors,Wonderlust,39459,https://www.fragrantica.com/perfume/Michael-Kors/Wonderlust-39459.html,Exact original Wonderlust page
824-MIC,Michael Kors,Gold Collection White Luminous Gold,31343,https://www.fragrantica.com/perfume/Michael-Kors/White-Luminous-Gold-31343.html,Exact Fragrantica page
823-MIC,Michael Kors,Sporty Citrus,18160,https://www.fragrantica.com/perfume/Michael-Kors/Sporty-Citrus-18160.html,Exact Fragrantica page
822-MIC,Michael Kors,Sexy-ruby-glam-ruby,46182,https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Ruby-46182.html,Exact Sexy Ruby page
821-MIC,Michael Kors,SEXY SUNSET - KORS,34276,https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Sunset-34276.html,Exact Fragrantica page
820-MIC,Michael Kors,SEXY RIO DE JANEIRO KORS,27497,https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Rio-de-Janeiro-27497.html,Exact Fragrantica page
817-MIC,Michael Kors,Gold Collection 24k Brilliant Gold,31341,https://www.fragrantica.com/perfume/Michael-Kors/24K-Brilliant-Gold-31341.html,Exact Fragrantica page
816-MAX,Max Mara,MAX MARA,204,https://www.fragrantica.com/perfume/Max-Mara/Max-Mara-204.html,Exact debut Max Mara 2004 page
807-LOL,Lolita Lempicka,LOLITA - LOLITA LEMPICKA,456,https://www.fragrantica.com/perfume/Lolita-Lempicka/Lolita-Lempicka-456.html,Original Lolita Lempicka 1997 EDP page
806-LOL,Lolita Lempicka,L Eau Jolie,17936,https://www.fragrantica.com/perfume/Lolita-Lempicka/L-Eau-Jolie-17936.html,Exact Fragrantica page
805-LOL,Lolita Lempicka,L DE LOLITA LEMPICKA,455,https://www.fragrantica.com/perfume/Lolita-Lempicka/L-de-Lolita-Lempicka-455.html,Exact original L de Lolita Lempicka page
801-LANV,Lanvin,Marry Me,9405,https://www.fragrantica.com/perfume/Lanvin/Marry-Me-9405.html,Exact original Marry Me page
