shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
1828-LAN,Lancome,O OUI!,186,https://www.fragrantica.com/perfume/Lancome/O-Oui-186.html,Original O Oui! 1999 page
1896-ESC,Escada,Cherry-in-japan,70279,https://www.fragrantica.com/perfume/Escada/Cherry-In-Japan-70279.html,Exact Fragrantica page
1886-PARF,Parfums de Marly,DELINA LA ROSE - PDM,64667,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-La-Ros-e-64667.html,Exact Delina La Rosee page matching Shobi label
1888-MOR,Moresque,Contessa,35669,https://www.fragrantica.com/perfume/Moresque/Contessa-35669.html,Exact Fragrantica page
1627-CLIV,Clive Christian,VANILLA ORCHID XXI ART DECO - CLIVE CHRISTIAN,50752,https://www.fragrantica.com/perfume/Clive-Christian/XXI-Art-Deco-Vanilla-Orchid-50752.html,Exact Fragrantica page
896-RCAV,Roberto Cavalli,Splendid-vanilla,58538,https://www.fragrantica.com/perfume/Roberto-Cavalli/Splendid-Vanilla-58538.html,Exact Fragrantica page
133-MICA,M. Micallef,YLANG IN GOLD - M,14409,https://www.fragrantica.com/perfume/M-Micallef/Ylang-in-Gold-14409.html,Exact Fragrantica page
1205-LOL,Lolita Lempicka,Au Masculin,458,https://www.fragrantica.com/perfume/Lolita-Lempicka/Lolita-Lempicka-Au-Masculin-458.html,Original Au Masculin 2000 page
539-DRC,Dior,MISS ROSE & ROSES,58562,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Rose-N-Roses-58562.html,Exact Miss Dior Rose N Roses page
589-ELI,Elie Saab,Girl of Now,45686,https://www.fragrantica.com/perfume/Elie-Saab/Girl-of-Now-45686.html,Exact Fragrantica page
608-ESC,Escada,Moon Sparkle,1887,https://www.fragrantica.com/perfume/Escada/Escada-Moon-Sparkle-1887.html,Women original Moon Sparkle page
993-ZAD,Zadig & Voltaire,JUST ROCK FOR HER - ZADIG & VOLTAIRE,45862,https://www.fragrantica.com/perfume/Zadig-Voltaire/Just-Rock-for-Her-45862.html,Exact Fragrantica page
1236-PAL,Paloma Picasso,Minotaure,1695,https://www.fragrantica.com/perfume/Paloma-Picasso/Minotaure-1695.html,Exact Fragrantica page
808-LOL,Lolita Lempicka,Sweet,28177,https://www.fragrantica.com/perfume/Lolita-Lempicka/Sweet-28177.html,Exact Fragrantica page
1201-LBI,Laura Biagiotti,Venezia Uomo,3002,https://www.fragrantica.com/perfume/Laura-Biagiotti/Venezia-Uomo-3002.html,Exact original Venezia Uomo page
802-LBI,Laura Biagiotti,VENEZIA - LAURA BIAGIOTTI,625,https://www.fragrantica.com/perfume/Laura-Biagiotti/Venezia-625.html,Original Venezia 1992 page
740-JUI,Juicy Couture,VIVA LA JUICY LUXE PARFUM - JUICY COUTURE,22574,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-La-Juicy-Luxe-Parfum-22574.html,Exact Fragrantica page
1037-BLG,Bvlgari,Bvl Man,9403,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Man-9403.html,Exact Bvlgari Man page
523-DRC,Dior,ISSIMO,224,https://www.fragrantica.com/perfume/Christian-Dior/Diorissimo-224.html,Diorissimo exact classic page
