shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
1493-ACQ,Acqua di Parma,Blu Mediterraneo - Fico di Amalfi,1687,https://www.fragrantica.com/p/1687,Verified Fragrantica page
1269-VAL,Valentino,Valentino Uomo Edition Noire,29601,https://www.fragrantica.com/p/29601,Verified Fragrantica page
1257-SFER,Salvatore Ferragamo,Salvatore Ferragamo Pour Homme,659,https://www.fragrantica.com/p/659,Verified Fragrantica page
1256-ROC,Rochas,Rochas Man,1426,https://www.fragrantica.com/p/1426,Verified Fragrantica page
1252-RCAV,Roberto Cavalli,Roberto Cavalli Black,838,https://www.fragrantica.com/p/838,Verified Fragrantica page
1237-PIN,Pino Silvestre,Pino Silvestre Original,1522,https://www.fragrantica.com/p/1522,Verified Fragrantica page
1235-PAC,Rabanne,Ultraviolet Man,521,https://www.fragrantica.com/p/521,Verified Fragrantica page
1229-PAC,Rabanne,1 Million,3747,https://www.fragrantica.com/p/3747,Verified Fragrantica page
1223-NRO,Narciso Rodriguez,Narciso Rodriguez for Him,1063,https://www.fragrantica.com/p/1063,Verified Fragrantica page
1218-MOS,Moschino,Moschino Forever,11613,https://www.fragrantica.com/p/11613,Verified Fragrantica page
1211-MNTB,Montblanc,Legend,11784,https://www.fragrantica.com/p/11784,Verified Fragrantica page
1207-MIC,Michael Kors,Michael Kors for Men,26264,https://www.fragrantica.com/p/26264,Verified Fragrantica page
1198-LAL,Lalique,Encre Noire,1834,https://www.fragrantica.com/p/1834,Verified Fragrantica page
1192-KEN,Kenzo,Tokyo by Kenzo,1673,https://www.fragrantica.com/p/1673,Verified Fragrantica page
1191-KEN,Kenzo,L'Eau par Kenzo Electric Wave pour Homme,35459,https://www.fragrantica.com/p/35459,Verified Fragrantica page
1185-JOO,Joop!,Nightflight,1721,https://www.fragrantica.com/p/1721,Verified Fragrantica page
1184-JOO,Joop!,Joop! Homme,1251,https://www.fragrantica.com/p/1251,Verified Fragrantica page
1183-VAR,John Varvatos,John Varvatos,2355,https://www.fragrantica.com/p/2355,Verified original 2004 Fragrantica page
1175-JAC,Jacomo,Paradox for Men,1454,https://www.fragrantica.com/p/1454,Verified Fragrantica page
1174-JAC,Jacomo,Jacomo de Jacomo,3804,https://www.fragrantica.com/p/3804,Verified Fragrantica page
1172-ISS,Issey Miyake,L'Eau d'Issey Pour Homme,79,https://www.fragrantica.com/p/79,Verified Fragrantica page
1169-HUG,Hugo Boss,Boss The Scent,31445,https://www.fragrantica.com/p/31445,Verified men's 2015 Fragrantica page
1151-HAL,Halston,Halston Z14,3697,https://www.fragrantica.com/p/3697,Verified Fragrantica page
1150-GLA,Guy Laroche,Drakkar Noir,2069,https://www.fragrantica.com/p/2069,Verified Fragrantica page
1148-GUC,Gucci,Gucci Oud,25946,https://www.fragrantica.com/p/25946,Verified Fragrantica page
1133-ARM,Giorgio Armani,Armani Code,412,https://www.fragrantica.com/p/412,Verified original 2004 fragrance; launched as Black Code and renamed Armani Code
1132-ARM,Giorgio Armani,Armani Attitude,1067,https://www.fragrantica.com/p/1067,Verified Fragrantica page
1117-EST,Estée Lauder,Intuition for Men,533,https://www.fragrantica.com/p/533,Verified Fragrantica page
1135-ARM,Giorgio Armani,Emporio Armani Lui,416,https://www.fragrantica.com/p/416,Verified Fragrantica page; Shobi aliases LUI/IL/HE/EL refer to Emporio Armani Lui
