shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
894-RCAV,Roberto Cavalli,Paradiso,28609,https://www.fragrantica.com/perfume/Roberto-Cavalli/Paradiso-28609.html,Exact original Paradiso 2015 page
872-PRA,Prada,Candy,12426,https://www.fragrantica.com/perfume/Prada/Prada-Candy-12426.html,Exact original Prada Candy page
871-PIER,Pierre Balmain,IVOIRE - PIERRE BALMAIN,15557,https://www.fragrantica.com/perfume/Pierre-Balmain/Ivoire-15557.html,2012 Ivoire page matching modern catalog item
870-PIER,Pierre Balmain,EXTATIC INTENSE GOLD - PIERRE BALMAIN,28047,https://www.fragrantica.com/perfume/Pierre-Balmain/Extatic-Intense-Gold-28047.html,Exact Fragrantica page
869-PIER,Pierre Balmain,EXTATIC - PIERRE BALMAIN,22817,https://www.fragrantica.com/perfume/Pierre-Balmain/Extatic-22817.html,Original Extatic EDP page
857-ONE,One Direction,You I,26663,https://www.fragrantica.com/perfume/One-Direction/You-I-26663.html,Exact You & I page
853-NIN,Nina Ricci,NINA,147,https://www.fragrantica.com/perfume/Nina-Ricci/Nina-147.html,Original Nina 2006 page
851-NIN,Nina Ricci,L Extase,29668,https://www.fragrantica.com/perfume/Nina-Ricci/L-Extase-29668.html,Exact original L Extase page
843-NRO,Narciso Rodriguez,FOR HER PINK EAU DE TOILETTE - RODRIGUEZ,209,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-209.html,Original 2003 For Her EDT pink bottle
841-NRO,Narciso Rodriguez,FLEUR MUSK FOR HER - RODRIGUEZ,42580,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Fleur-Musc-for-Her-42580.html,Exact Fleur Musc for Her 2017 page
840-NAO,Naomi Campbell,Naomi Campbell,905,https://www.fragrantica.com/perfume/Naomi-Campbell/Naomi-Campbell-905.html,Exact debut Naomi Campbell 1999 page
831-MOS,Moschino,Cheap And Chic,727,https://www.fragrantica.com/perfume/Moschino/Cheap-Chic-727.html,Exact original Cheap & Chic page
917-SWA,Swarovski,Aura,11258,https://www.fragrantica.com/perfume/Swarovski/Aura-11258.html,Original Aura Swarovski 2011 EDP page
905-SFER,Salvatore Ferragamo,AMO - S.FERRAGAMO,46832,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Amo-Ferragamo-46832.html,Exact original Amo Ferragamo 2018 page
