shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
772-LAD,Lady Gaga,Fame,15338,https://www.fragrantica.com/perfume/Lady-Gaga/Fame-15338.html,Exact 2012 page
819-MIC,Michael Kors,SEXY AMBER - KORS,18161,https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Amber-18161.html,Exact 2013 page
818-MIC,Michael Kors,Michael Kors Coral,32739,https://www.fragrantica.com/perfume/Michael-Kors/Coral-32739.html,Exact 2015 page
852-NIN,Nina Ricci,Luna,39376,https://www.fragrantica.com/perfume/Nina-Ricci/Luna-39376.html,Exact 2016 page
739-JUI,Juicy Couture,Viva La Juicy Gold Couture,25753,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-la-Juicy-Gold-Couture-25753.html,Exact 2014 page
741-JUI,Juicy Couture,Viva La Juicy Rosé,33567,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-La-Juicy-Rose-33567.html,Exact 2015 page
742-JUI,Juicy Couture,VIVA LA JUICY SUCRE - COUTURE,42053,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-La-Juicy-Sucre-42053.html,Exact 2016 page
737-JUI,Juicy Couture,Malibu,22956,https://www.fragrantica.com/perfume/Juicy-Couture/Juicy-Couture-Malibu-22956.html,Exact 2013 page
736-JUI,Juicy Couture,Couture Couture,6496,https://www.fragrantica.com/perfume/Juicy-Couture/Couture-Couture-6496.html,Exact 2009 page
727-JEN,Jennifer Lopez,JLuxe,29758,https://www.fragrantica.com/perfume/Jennifer-Lopez/JLuxe-29758.html,Exact 2015 page
