shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
1256-ROC,Rochas,Rochas Man,1426,https://www.fragrantica.com/perfume/Rochas/Rochas-Man-1426.html,Verified Fragrantica exact intended title
1254-RCAV,Roberto Cavalli,Just Cavalli Him,848,https://www.fragrantica.com/perfume/Roberto-Cavalli/Just-Cavalli-Him-848.html,Verified Fragrantica exact title 2004
1252-RCAV,Roberto Cavalli,Roberto Cavalli Black,838,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Black-838.html,Verified Fragrantica exact male Black
1237-PIN,Pino Silvestre,Pino Silvestre Original,1522,https://www.fragrantica.com/perfume/Pino-Silvestre/Pino-Silvestre-Original-1522.html,Verified Fragrantica exact title
1235-PAC,Rabanne,Ultraviolet Man,521,https://www.fragrantica.com/perfume/Paco-Rabanne/Ultraviolet-521.html,Verified Fragrantica men 2001
1223-NRO,Narciso Rodriguez,Narciso Rodriguez for Him,1063,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Him-1063.html,Verified Fragrantica exact intended male fragrance
1218-MOS,Moschino,Moschino Forever,11613,https://www.fragrantica.com/perfume/Moschino/Moschino-Forever-11613.html,Verified Fragrantica exact title
1211-MNTB,Montblanc,Legend,11784,https://www.fragrantica.com/perfume/Montblanc/Legend-11784.html,Verified Fragrantica men 2011
1092-DOL,Dolce&Gabbana,By,490,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-490.html,Verified Fragrantica By Man 1997
1082-DRC,Dior,Dior Homme Sport,4033,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Sport-4033.html,Verified Fragrantica original 2008 Sport
1028-BRB,Burberry,Burberry Sport for Men,7614,https://www.fragrantica.com/perfume/Burberry/Burberry-Sport-for-Men-7614.html,Verified Fragrantica men 2010
