shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
2415-ESC,Escada,SEXY GRAFFITY - ESCADA,1352,https://www.fragrantica.com/perfume/Escada/Sexy-Graffiti-1352.html,Original 2002 Sexy Graffiti matching legacy Shobi item
2418-ACQ,Acqua di Parma,VANIGLIA SIGNATURE,56003,https://www.fragrantica.com/perfume/Acqua-di-Parma/Vaniglia-Eau-de-Parfum-56003.html,Signatures of the Sun Vaniglia Eau de Parfum 2019
2028-ZARK,Zarko Perfume,Youth,75594,https://www.fragrantica.com/perfume/ZARKOPERFUME/Youth-75594.html,Exact Fragrantica page
2016-PARELM,Parfums d'Elmar,Elixir d'Amour,50275,https://www.fragrantica.com/perfume/Parfums-d-Elmar/Elixir-d-Amour-50275.html,Original 2018 discontinued edition matching legacy catalog
1980-HIND,Hind Al Oud,Emarati Musk Parfum,87692,https://www.fragrantica.com/perfume/Hind-Al-Oud/Emarati-Musk-87692.html,Exact Emarati Musk 2017 page
309-LOC,L'Occitane,MAGNOLIA & MURE - L' OCCITANE,17836,https://www.fragrantica.com/perfume/L-Occitane/Magnolia-Mure-17836.html,Exact 2013 page
287-JOM,Jo Malone,Silk Blossom,24717,https://www.fragrantica.com/perfume/Jo-Malone/Silk-Blossom-24717.html,Original 2014 Silk Blossom matching legacy item
249-JOM,Jo Malone,Earl Grey  Cucumber,11488,https://www.fragrantica.com/perfume/Jo-Malone-London/Earl-Grey-Cucumber-11488.html,Original 2011 edition
799-LANV,Lanvin,Eclat-d-arpege-eau-de-,988,https://www.fragrantica.com/perfume/Lanvin/Eclat-d-Arpege-988.html,Exact original 2002 page
800-LANV,Lanvin,Me,17701,https://www.fragrantica.com/perfume/Lanvin/Lanvin-Me-17701.html,Exact 2013 page
