shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
893-RCAV,Roberto Cavalli,Roberto Cavalli Nero Assoluto,18833,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Nero-Assoluto-18833.html,Current Fragrantica page
892-RCAV,Roberto Cavalli,Just Cavalli Her,847,https://www.fragrantica.com/perfume/Roberto-Cavalli/Just-Cavalli-Her-847.html,Original Just Cavalli Her page matching Shobi wording
891-RCAV,Roberto Cavalli,Just Cavalli Gold for Her,26216,https://www.fragrantica.com/perfume/Roberto-Cavalli/Just-Cavalli-Gold-for-Her-26216.html,Current Fragrantica page
890-RCAV,Roberto Cavalli,Roberto Cavalli Exotica,22902,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Exotica-22902.html,Current Fragrantica page
889-RCAV,Roberto Cavalli,Roberto Cavalli Essenza,31459,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Essenza-31459.html,Current Fragrantica page
888-RCAV,Roberto Cavalli,Divine Oud,41717,https://www.fragrantica.com/perfume/Roberto-Cavalli/Divine-Oud-41717.html,Current Fragrantica page
886-RIH,Rihanna,RiRi,31629,https://www.fragrantica.com/perfume/Rihanna/RiRi-31629.html,Current Fragrantica page
885-REP,Repetto,Repetto Eau Florale,30159,https://www.fragrantica.com/perfume/Repetto/Repetto-L-Eau-Florale-30159.html,Current Fragrantica page
873-PRA,Prada,Prada Candy Florale,24487,https://www.fragrantica.com/perfume/Prada/Prada-Candy-Florale-24487.html,Current Fragrantica page
856-NIN,Nina Ricci,Ricci Ricci,6382,https://www.fragrantica.com/perfume/Nina-Ricci/Ricci-Ricci-6382.html,Current Fragrantica page
855-NIN,Nina Ricci,Premier Jour,520,https://www.fragrantica.com/perfume/Nina-Ricci/Premier-jour-520.html,Current Fragrantica page
