shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
2284-HIS,Histoires de Parfums,1889 - Moulin Rouge,7816,https://www.fragrantica.com/perfume/Histoires-de-Parfums/1889-Moulin-Rouge-7816.html,Exact Fragrantica page
2137-ROJ,Roja Parfums,GREAT BRITAIN - ROJA DOVE,32537,https://www.fragrantica.com/perfume/Roja-Dove/Great-Britain-32537.html,Exact Fragrantica page
2036-GIS,Gisada,Ambassador Men Eau de Parfum,58226,https://www.fragrantica.com/perfume/Gisada/Ambassador-Men-58226.html,Exact Fragrantica page
2094-SHIS,Shiseido,Ever Bloom,31202,https://www.fragrantica.com/perfume/Shiseido/Ever-Bloom-31202.html,Exact original Ever Bloom 2015 page
2098-MIC,Michael Kors,Twilight Shimmer,50396,https://www.fragrantica.com/perfume/Michael-Kors/Twilight-Shimmer-50396.html,Exact Fragrantica page
2051-PRFRO,Profumum Roma,Acqua Di Sale,3886,https://www.fragrantica.com/perfume/Profumum-Roma/Acqua-di-Sale-3886.html,Exact Fragrantica page
2021-ROJ,Roja Parfums,Apex Roja Dove,72723,https://www.fragrantica.com/perfume/Roja-Dove/Apex-72723.html,Exact Fragrantica page
1984-ATTAR,Attar Collection,Musk Kashmir,38134,https://www.fragrantica.com/perfume/Attar-Collection/Musk-Kashmir-38134.html,Original 2016 fragrance matching legacy Shobi item
1926-KOS,Thomas Kosmala,No. 4 Après l’Amour Eau de Parfum,53742,https://www.fragrantica.com/perfume/Thomas-Kosmala/No-4-Apres-l-Amour-Eau-de-Parfum-53742.html,Exact Fragrantica page
1988-THEVE,The Merchant Of Venice,Arabesque,32670,https://www.fragrantica.com/perfume/The-Merchant-of-Venice/Arabesque-32670.html,Exact Fragrantica page
1985-WID,Widian,GOLD II SAHARA - WIDIAN,54883,https://www.fragrantica.com/perfume/WIDIAN/Gold-II-Sahara-54883.html,Exact Fragrantica page
1958-DRC,Dior,Bois-d-argent-eau-de-,1377,https://www.fragrantica.com/perfume/Dior/Bois-D-argent-1377.html,Original Bois d Argent 2004 page matching legacy item
