shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
1875-ESCE,Escentric Molecules,Molecule 05,58969,https://www.fragrantica.com/p/58969,Current Fragrantica page
1863-LAC,Lacoste Fragrances,Lacoste Pour Femme,669,https://www.fragrantica.com/p/669,Current Fragrantica page
1860-NAS,Nasomatto,Absinth,4293,https://www.fragrantica.com/p/4293,Current Fragrantica page
1857-ESCE,Escentric Molecules,Escentric 05,58970,https://www.fragrantica.com/p/58970,Current Fragrantica page
1852-PRFRO,Profumum Roma,Battito d'Ali,11701,https://www.fragrantica.com/p/11701,Current Fragrantica page
1849-PRFRO,Profumum Roma,Acqua e Zucchero,3887,https://www.fragrantica.com/p/3887,Current Fragrantica page
1833-SALV,Salvador Dali,Dalimania,3923,https://www.fragrantica.com/p/3923,Current Fragrantica page
201-CLIV,Clive Christian,No. 1 for Men,4648,https://www.fragrantica.com/p/4648,Current Fragrantica page
1840-JOO,Joop!,All About Eve,660,https://www.fragrantica.com/p/660,Current Fragrantica page
1839-JOV,Jovoy Paris,Incident Diplomatique,44237,https://www.fragrantica.com/p/44237,Current Fragrantica page
1838-TAU,Tauer Perfumes,L'Air du Desert Marocain,4573,https://www.fragrantica.com/p/4573,Current Fragrantica page
1837-KEI,Keiko Mecheri,Loukhoum,2708,https://www.fragrantica.com/p/2708,Current Fragrantica page
1824-VAR,John Varvatos,Artisan,5534,https://www.fragrantica.com/p/5534,Current Fragrantica page
1819-MIC,Michael Kors,Midnight Shimmer,38989,https://www.fragrantica.com/p/38989,Current Fragrantica page
1814-AJMA,Ajmal,Mizyaan,15083,https://www.fragrantica.com/p/15083,Current Fragrantica page
1492-ABE,Abercrombie & Fitch,A&F Beacon,40775,https://www.fragrantica.com/p/40775,Current Fragrantica page
1794-ISS,Issey Miyake,L'Eau d'Issey Pure Nectar de Parfum,47780,https://www.fragrantica.com/p/47780,Current Fragrantica page
1784-ESC,Escada,Escada Summer Festival,64643,https://www.fragrantica.com/p/64643,Current Fragrantica page
1780-RCAV,Roberto Cavalli,Just Cavalli for Her,16760,https://www.fragrantica.com/p/16760,Current Fragrantica page for the 2013 women's fragrance
1765-JEN,Jennifer Lopez,Miami Glow,870,https://www.fragrantica.com/p/870,Original 2005 Fragrantica page
1736-PRFRO,Profumum Roma,Arso,11700,https://www.fragrantica.com/p/11700,Current Fragrantica page
1685-FRE,Frederic Malle,En Passant,2793,https://www.fragrantica.com/p/2793,Original fragrance page; not later limited edition
1656-LOC,L'Occitane en Provence,Terre de Lumiere,41970,https://www.fragrantica.com/p/41970,Original 2017 fragrance page
1660-ESCE,Escentric Molecules,Molecule 01,845,https://www.fragrantica.com/p/845,Current Fragrantica page
1616-MDI,Parfums MDCI,Invasion Barbare,5937,https://www.fragrantica.com/p/5937,Current Fragrantica page
1622-FRA,Franck Boclet,Cocaine,44128,https://www.fragrantica.com/p/44128,Current Fragrantica page
1557-FRE,Frederic Malle,Rose & Cuir,56516,https://www.fragrantica.com/p/56516,Current Fragrantica page
1535-BOA,Boadicea the Victorious,Blue Sapphire,18518,https://www.fragrantica.com/p/18518,Current Fragrantica page
1536-BOA,Boadicea the Victorious,Heroine,55770,https://www.fragrantica.com/p/55770,Current Fragrantica page
1488-LBI,Laura Biagiotti,Roma Uomo,629,https://www.fragrantica.com/p/629,Current Fragrantica page
1502-CHA,Chanel,Coco Mademoiselle L'Eau Privee,62194,https://www.fragrantica.com/p/62194,Current Fragrantica page
1522-ZAD,Zadig & Voltaire,This Is Us!,64313,https://www.fragrantica.com/p/64313,Current Fragrantica page
1528-KUR,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,46066,https://www.fragrantica.com/p/46066,Canonical extrait page; not limited editions
1521-ZAD,Zadig & Voltaire,Girls Can Be Crazy,60794,https://www.fragrantica.com/p/60794,Current Fragrantica page
176-THAM,Thameen,Peregrina,59756,https://www.fragrantica.com/p/59756,Current Fragrantica page
169-ROJ,Roja Dove,Britannia,38675,https://www.fragrantica.com/p/38675,Plain Britannia fragrance page; not Jubilee Limited Edition
826-MIS,Missguided,Babe Power,45063,https://www.fragrantica.com/p/45063,Current Fragrantica page
1217-MONT,Montana,Montana Homme,2381,https://www.fragrantica.com/p/2381,Current Fragrantica page
609-ESC,Escada,Sentiment,1179,https://www.fragrantica.com/p/1179,Current Fragrantica page
125-JUL,Juliette Has A Gun,Liquid Illusion,51055,https://www.fragrantica.com/p/51055,Original 2018 fragrance page; distinct from 2026 release with same name
