shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
950-VICT,Victoria s Secret,Amber Romance,7990,https://www.fragrantica.com/perfume/Victoria-s-Secret/Amber-Romance-7990.html,Original Secret Garden fragrance page
955-VICT,Victoria s Secret,Coconut Passion,7993,https://www.fragrantica.com/perfume/Victoria-s-Secret/Coconut-Passion-7993.html,Original Secret Garden fragrance page
959-VICT,Victoria s Secret,Forbidden,23244,https://www.fragrantica.com/perfume/Victoria-s-Secret/Victoria-s-Secret-Forbidden-23244.html,Exact 2014 page
964-VICT,Victoria s Secret,Scandalous,28256,https://www.fragrantica.com/perfume/Victoria-s-Secret/Scandalous-28256.html,Original 2014 Scandalous page
755-KEN,Kenzo,SUMMER - KENZO,76,https://www.fragrantica.com/perfume/Kenzo/Summer-by-Kenzo-76.html,Exact Summer by Kenzo 2005
729-JIM,Jimmy Choo,Blossom,29165,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Blossom-29165.html,Exact 2015 page
204-CRD,Creed,Avent,9828,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,Shobi Avent abbreviation matches Creed Aventus
986-YZLO,Yves Saint Laurent,OPIUM,93,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Opium-1977-93.html,Original Opium 1977 page
247-JOM,Jo Malone,The Herb Garden  Carrot Blossom  Fennel,35881,https://www.fragrantica.com/perfume/Jo-Malone-London/Carrot-Blossom-Fennel-35881.html,Exact Herb Garden Carrot Blossom & Fennel 2016
240-JOM,Jo Malone,Amber & Patchouli - Jo Malone,12927,https://www.fragrantica.com/perfume/Jo-Malone-London/Amber-Patchouli-12927.html,Original 2010 Cologne Intense edition
911-SEPH,Sephora,Fleur de Coton / Cotton Flower,37955,https://www.fragrantica.com/perfume/Sephora/Fleur-de-Coton-Cotton-Flower-37955.html,Exact 2012 page
