shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
710-HUG,Hugo Boss,BOSS JOUR - HUGO BOSS,18385,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Jour-Pour-Femme-18385.html,Exact original Boss Jour Pour Femme 2013
695-GUE,Guess,Dare,26415,https://www.fragrantica.com/perfume/Guess/Guess-Dare-26415.html,Exact women Dare 2014
681-GUC,Gucci,Rush,686,https://www.fragrantica.com/perfume/Gucci/Gucci-Rush-686.html,Exact women Gucci Rush 1999
678-GUC,Gucci,Guilty,9677,https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-9677.html,Original Gucci Guilty for women 2010
649-ARM,Giorgio Armani,Armani Code Turquoise,30323,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Turquoise-for-Women-30323.html,Exact women limited edition 2015
639-FEN,Fendi,FENDI Woman,200,https://www.fragrantica.com/perfume/Fendi/Fendi-200.html,Original Fendi for women 1985
623-EST,Estée Lauder,ESTEE - ESTEE LAUDER,544,https://www.fragrantica.com/perfume/Estee-Lauder/Estee-544.html,Classic Estee 1968
622-EST,Estée Lauder,Cinnabar Eau de Parfum,546,https://www.fragrantica.com/perfume/Estee-Lauder/Cinnabar-546.html,Original Cinnabar 1978 matching legacy catalog
616-EST,Estee Lauder,Beyond Paradise,530,https://www.fragrantica.com/perfume/Estee-Lauder/Beyond-Paradise-530.html,Original Beyond Paradise 2003
612-ESC,Escada,TURQUOISE - ESCADA,28630,https://www.fragrantica.com/perfume/Escada/Turquoise-Summer-28630.html,Turquoise Summer 2015
