shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
2604-JILS,Jil Sander,Sun Men Jil Sander,619,https://www.fragrantica.com/perfume/Jil-Sander/Sun-Men-619.html,Exact original Sun Men 2002
1763-JILS,Jil Sander,Sun Jil Sander,618,https://www.fragrantica.com/perfume/Jil-Sander/Sun-618.html,Exact original Sun women 1989
1659-CHRA,Christina Aguilera,By Night,6714,https://www.fragrantica.com/perfume/Christina-Aguilera/Christina-Aguilera-by-Night-6714.html,Exact 2009 page
1483-DSQ,Dsquared2,Potion,12937,https://www.fragrantica.com/perfume/DSQUARED2/Potion-12937.html,Exact original Potion 2011
410-BOD,The Body Shop,BLACK MUSK - BODY SHOP,32247,https://www.fragrantica.com/perfume/The-Body-Shop/Black-Musk-32247.html,Exact Black Musk 2015
2044-LORV,Lorenzo Villoresi,Teint de Neige,5079,https://www.fragrantica.com/perfume/Lorenzo-Villoresi/Teint-de-Neige-5079.html,Original generic Teint de Neige 2000
1046-CAL,Calvin Klein,EVERYONE - CK,59021,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Everyone-59021.html,Original CK Everyone EDT 2020
304-KIE,Kiehl's,ORIGINAL MUSK - KIEHL'S,6188,https://www.fragrantica.com/perfume/Kiehl-s/Original-Musk-6188.html,Exact Original Musk 2004
926-TOM,Tommy Hilfiger,Tommy Girl,3016,https://www.fragrantica.com/perfume/Tommy-Hilfiger/Tommy-Girl-3016.html,Exact original Tommy Girl 1996
912-SHIS,Shiseido,Zen,1499,https://www.fragrantica.com/perfume/Shiseido/Zen-1499.html,Exact modern Zen 2007
