shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
1658-GUR,Guerlain,La Petite Robe Noire,14681,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noir-14681.html,Exact 2012 mainstream Eau de Parfum page
1620-GUR,Guerlain,SPIRITUEUSE DOUBLE VANILLA,3345,https://www.fragrantica.com/perfume/Guerlain/Spiritueuse-Double-Vanille-3345.html,Original 2007 Fragrantica page
1551-VICT,Victoria s Secret,Tease-dreamer-eau-de-,54073,https://www.fragrantica.com/perfume/Victoria-s-Secret/Tease-Dreamer-54073.html,Original 2019 page with established reviews; duplicate later ID excluded
637-EST,Estee Lauder,Spellbound,552,https://www.fragrantica.com/perfume/Est-e-Lauder/SpellBound-552.html,Exact 1991 fragrance page
539-DRC,Dior,MISS ROSE & ROSES,58562,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Rose-N-Roses-58562.html,Exact Miss Dior Rose N Roses 2020 page
269-JOM,Jo Malone,Nashi Blossom,37551,https://www.fragrantica.com/perfume/Jo-Malone-London/Nashi-Blossom-37551.html,Original 2016 Nashi Blossom page
1977-SHIS,Shiseido,Ginza (2021),65234,https://www.fragrantica.com/perfume/Shiseido/Ginza-65234.html,Exact 2021 page
1975-ZARK,ZARKOPERFUME,PINK MOLéCULE 090.09 Eau de Parfum,25474,https://www.fragrantica.com/perfume/ZARKOPERFUME/PINK-MOL-CULE-090-09-25474.html,Exact 2014 page
401-ARIA,Ariana Grande,Cloud-eau-de-,50384,https://www.fragrantica.com/perfume/Ariana-Grande/Cloud-50384.html,Exact original Cloud 2018 page
111-BAC,Baccarat,Rouge 540,33519,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,Exact standard Baccarat Rouge 540 EDP page; not Extrait
2012-DOL,Dolce & Gabbana,Q QUEEN,78873,https://www.fragrantica.com/perfume/Dolce-Gabbana/Q-by-Dolce-Gabbana-78873.html,Exact Q by Dolce Gabbana 2023 women page
2017-DIE,Diesel,D,74965,https://www.fragrantica.com/perfume/Diesel/D-by-Diesel-74965.html,Exact D by Diesel 2022 page
1996-LTN,Louis Vuitton,Heures d’Absence (2020),59485,https://www.fragrantica.com/perfume/Louis-Vuitton/Heures-d-Absence-59485.html,Exact 2020 page
